Tags,Question,Answer,Source,Explanation,Expiration
the environment,Almost all climate scientists believe that Climate Change is real and humans are the leading cause.,Fact,https://iopscience.iop.org/article/10.1088/1748-9326/ac2966,97-99% of climate scientists believe humans are causing climate change but only 27% of American adults believe that the majority of scientists think this. ,
the environment,The United States is the world's largest oil producer.,Fact,https://en.wikipedia.org/wiki/List_of_countries_by_oil_production,"In 2020, the US produced about 11 million barrels of oil each day. Russia and Saudi Arabia each produced about 9 million barrels a day.",
the environment,The majority of Americans think the federal government should do more to fight climate change.,Fact,https://www.pewresearch.org/science/2020/06/23/two-thirds-of-americans-think-government-should-do-more-on-climate/,2/3 of Americans think the government isn't doing enough to mitigate the effects of climate change.,
the environment,It will take a long time before renewable energy is cheaper than coal in the US.,Fiction,https://www.forbes.com/sites/energyinnovation/2019/03/26/the-coal-cost-crossover-74-of-us-coal-plants-now-more-expensive-than-new-renewables-86-by-2025/?sh=7af1fbf722d9,Nearly 80% of coal plants in the US are already more expensive than renewable alternatives.,
the environment,Over 1 million species are currently on the brink of extinction.,Fact,https://www.nature.com/articles/d41586-019-01448-4,Approximately 150 species die off each day due to habitat loss and the effects of climate change. We are witnessing an average death rate far higher than at any point over the last 10 million years.,
"education, the environment",Most Republicans oppose teaching climate change in school.,Fiction,https://ncse.ngo/new-poll-support-climate-change-education,66% of Republicans and 90% of Democrats support teaching climate change in school. ,
"the environment, US and the world",The U.S. ranks among the top ten countries in the world for its environmental protection efforts.,Fiction,https://epi.yale.edu/epi-results/2020/component/epi,"The U.S. ranks 24th for environmental protection, and 59th for efforts related to mitigating climate change.",
US & the world,Climate change is the top security concern for most governments around the world.,Fact,https://www.pewresearch.org/global/2019/02/10/climate-change-still-seen-as-the-top-global-threat-but-cyberattacks-a-rising-concern/,67% of national governments view climate change as their top security concern,
the environment,The 2010's were the hottest decade on record (since 1880).,Fact,https://www.nasa.gov/press-release/2020-tied-for-warmest-year-on-record-nasa-analysis-shows,2020 tied with 2016 as the hottest year on record. ,
Criminal Justice & Guns,The vast majority of prosecutors in America are white men. ,Fact,https://www.npr.org/sections/itsallpolitics/2015/07/08/420913118/does-it-matter-that-95-of-elected-prosecutors-are-white,"95% of prosecutors are white while 80% are white men, even though they only make up 30% of the population. ",
Criminal Justice & Guns,"Of the roughly 600,000 people currently in jail in America, the majority have been convicted of a crime.",Fiction,https://www.prisonpolicy.org/reports/pie2020.html,The number of individuals awaiting trial is double that of convicted inmates,
Criminal Justice & Guns,There are more black men incarcerated in America today than there were enslaved at the height of slavery.,Fact,"https://www.pewresearch.org/fact-tank/2019/04/30/shrinking-gap-between-number-of-blacks-and-whites-in-prison/#:~:text=The%20racial%20and%20ethnic%20makeup,adults%20but%2030%25%20of%20prisoners.","In 2017, black people represented 12% of the US adult population but 33% of the prison population. White people made up 64% of the adult population but 30% of prisoners. ",
"Criminal Justice & Guns, US & the Worlds",China has the highest incarceration rate in the world.,Fiction,"https://www.statista.com/statistics/262962/countries-with-the-most-prisoners-per-100-000-inhabitants/#:~:text=The%20United%20States%20is%20not,1.71%20million%20people%20that%20year.","The US has the highest incarceration rate (which is more than 5 times that of most other industrialized countries) and the highest prison population. In 2020, the US had a total prison population of 2.21 million while China had an estimated 1.7 million. ",
Criminal Justice & Guns,Private prisons have lower recitivism rates than public prisons.,Fiction,https://www.inthepublicinterest.org/wp-content/uploads/ITPI-Recidivism-ResearchBrief-June2016.pdf,Private prisons have higher recidivism rates and longer average sentences for prisoners guilty of the same crime.,
Criminal Justice & Guns,Solitary confinement can cause long-term brain damage and is often used to punish minor infractions.,Fact,https://www.prisonpolicy.org/blog/2020/12/08/solitary_symposium/,"Over 100,000 prisoners are contained in solitary each year, meaning isolation for 23 hours a day in a room the size of a king-sized bed. ",
Criminal Justice & Guns,"The War on Drugs has cost over $1 trillion and more than 200,000 lives.",Fact,https://www.cnbc.com/2021/06/17/the-us-has-spent-over-a-trillion-dollars-fighting-war-on-drugs.html,The US prison population has increased by 700% in the last 50 years due in large part to the War on Drugs.,
Criminal Justice & Guns,About half of Americans want Congress to pass some form of gun control.,Fiction,https://en.wikipedia.org/wiki/Public_opinion_on_gun_control_in_the_United_States,"A 2019 Fox News poll found that 90% of respondents supported universal background checks, 81% supported taking guns from at-risk individuals, and 67% supported an assault weapons ban. ",
Criminal Justice & Guns,There are more guns than people in the US. ,Fact,https://worldpopulationreview.com/country-rankings/gun-ownership-by-country,"The US has the highest number of private firearms per capita, with 120 guns per 100 residents. Yemen is second with 52 per 100 residents. We make up 5% of the world population but own 50% of private guns.",
Criminal Justice & Guns,The CDC is effectively prohibited from funding gun violence research. ,Fact,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5993413/,"The 1996 Dickey Amendment, which passed with support from the NRA and Republicans, prohibits the use of federal funds to advocate for gun control. It came after a CDC study found that owning a gun drastically increased one's risk of death. ",
Income Inequality,The wealthiest 10% of Americans own 89% of all US stocks. ,Fact,https://www.cnbc.com/2021/10/18/the-wealthiest-10percent-of-americans-own-a-record-89percent-of-all-us-stocks.html,"In 2020, the wealthiest 1% saw their combined wealth increase by $6.5 trillion while the bottom 90% saw a combined increase of $1.2 trillion. ",
Income Inequality,Today's real average wage (accounted for inflation) has about the same purchasing power it did 40 years ago. ,Fact,https://www.pewresearch.org/fact-tank/2018/08/07/for-most-us-workers-real-wages-have-barely-budged-for-decades/,"Although corporate profits are at all-time highs, average workers’ wages have barely changed since 1980 with the majority of economic gains going to the richest Americans. ",
Income Inequality,Trickle down economics (cutting taxes for the rich) increases inequality. ,Fact,http://eprints.lse.ac.uk/107919/1/Hope_economic_consequences_of_major_tax_cuts_published.pdf,"This theory, also known as Voodoo Economics, argues that cutting taxes on the rich benefits everyone, but it is rejected by the vast majority of independent economists. 51% of American adults agree with the statement that ""trickle down economics has never worked in America.""",
Income Inequality,Less than half of American adults live paycheck to paycheck. ,Fiction,https://www.forbes.com/sites/zackfriedman/2019/01/11/live-paycheck-to-paycheck-government-shutdown/?sh=6d6502454f10,Estimates range from 60-80%. A 2019 study also found that 3 in 4 workers are in debt. ,
Income Inequality,The federal minimum wage is over $10. ,Fiction,https://usafacts.org/articles/minimum-wage-america-how-many-people-are-earning-725-hour/,The current federal minimum wage is $7.25 and it has not changed since 2009. Over half of US states have increased their minimum wage and an estimated 2% of all hourly non-self-employed workers earn at or below $7.25.,
Income Inequality,The bottom half of Americans own less combined wealth than the richest 3 Americans.,Fact,https://www.pewresearch.org/social-trends/2020/01/09/trends-in-income-and-wealth-inequality/,"The combined wealth of Elon Musk, Jeff Bezos and Bill Gates ($505 billion) is more than that of the bottom 160 million Americans. Recent estimates show that the combined wealth of the top 1% in the US is 15 times that of the bottom 50%. ",
Income Inequality,"The majority of Americans oppose increasing taxes for those making over $400,000/year.",Fiction,https://thehill.com/policy/finance/528442-poll-most-americans-support-raising-taxes-on-those-making-at-least-400000,"88% of Democrats, 70% of Independents and 45% of Republicans support raising taxes on those making over $400,000. Only 24% of Americans oppose raising tax rates for incomes above $10 million.",
Income Inequality,Billionaires around the world saw their total wealth decrease during the pandemic.,Fiction,https://ips-dc.org/u-s-billionaires-62-percent-richer-during-pandemic/,"The combined wealth of global billionaires increased by nearly $6 trillion during the pandemic, with US biollionaires seeing an increase of $1.8 trillion. The number of billionaires in the U.S. has more than doubled in last 10 years.",
Income Inequality,The CEO-to-worker pay gap in the US has remained relatively constant over the last few decades. ,Fiction,https://www.epi.org/publication/ceo-pay-in-2020/,"CEO compensation has grown 1,322% since 1978, while typical worker compensation has risen just 18%. CEOs today make about 350 times more than the average employee. ",
Income Inequality,Income tax rates for the wealthiest Americans have increased in the last 50 years. ,Fiction,https://americansfortaxfairness.org/tax-fairness-briefing-booklet/fact-sheet-taxing-wealthy-americans/,"In the 1950s and 1960s, when the economy was booming, the wealthiest Americans paid a top income tax rate of 91%. Today, the top rate is 43.4%. ",
Money in Politics,About half of all US Senators register as lobbyists after leaving Congress. ,Fact,https://link.springer.com/article/10.1057%2Figa.2015.16,"In the 1970s, less than 5% of retiring US Senators registered as lobbyists. ",
Money in Politics,The pharmeceutical industry is typically the top spender on lobbying efforts during elections in the US.,Fiction,https://www.opensecrets.org/news/2019/01/lobbying-spending-reaches-3-4-billion-in-18/,"The US Chamber of Commerce has been the top spender on elections for each of the last ten years, with nearly $100 million spent lobbying in 2018. The National Association of Realtor was second with nearly $80 million spent, and Big Pharma was third with nearly $30 million spent. ",
Money in Politics,Corporations are able to spend unlimited amounts of money on political campaigns in the US.,Fact,https://www.brennancenter.org/our-work/research-reports/citizens-united-explained,A 2010 Supreme Court decision known as Citizens United ruled that corporations are people and therefore unlimited campaign spending is protected under free speech. ,
Money in Politics,Republican Senators are more likely to vote in favor of wealthy constituents over poor constituents than Democrat Senators. ,Fact,https://www.economist.com/graphic-detail/2019/07/22/is-congress-rigged-in-favour-of-the-rich,"From 2001 to 2015, the average Republican Senator voted in favor of their rich constituents 86% of the time compared to 35% of the time for Democratic Senators. ",
U.S. and the World,China spends more on its military than any other country.,Fiction,,"The US spends more on its military each year than the next 11 countries combined. In 2020, the US spent nearly $800 billion on the military, which was over a third of all world-wide expenditures. ",
U.S. and the World,The U.S. ranks among the top 20 countries in life expectancy. ,Fiction,https://www.worldometers.info/demographics/life-expectancy/,The US rank in life expectancy varies from 40th to 46th in the world. ,
U.S. and the World,The Vietnam War was the longest war in US history.,Fiction,https://en.wikipedia.org/wiki/List_of_the_lengths_of_United_States_participation_in_wars,"The War in Afghanistan was the longest US war at 19 years and 5 months, compared to 19 years and 5 months in Vietnam. ",
U.S. and the World,The majority of US veterans say the wars in Iraq and Afghanistan were not worth fighting.,Fact,https://www.pewresearch.org/fact-tank/2019/07/10/majorities-of-u-s-veterans-public-say-the-wars-in-iraq-and-afghanistan-were-not-worth-fighting/,"In 2019, 63% of veterans agreed that the costs of the two recent wars outweighed the benefits (compared to 68% of citizens).",
2016 Election,"Leading up to the 2016 election, about half of the US population was exposed to Facebook posts created in Russia intended to influence voters.",Fact,https://www.theguardian.com/technology/2017/oct/30/facebook-russia-fake-accounts-126-million,All 16 agencies that make up the US intelligence community concluded the efforts were intended to sow discord and benefit Donald Trump.,
2016 Election,The Mueller Report completely cleared Donald Trump of any wrongdoing with regards to the Russian interference in the 2016 election.,Fiction,https://www.justice.gov/archives/sco/file/1373816/download,"While the report did not convict Trump of collusion with Russia, it found multiple instances of coordination and obstruction of justice, and resulted in nearly 200 criminal counts against 37 individuals associated with his campaign",
Religion,"A majority of Americans believe in Creationism, or that God created the earth 10,000 years ago.",Fiction,https://news.gallup.com/poll/261680/americans-believe-creationism.aspx,"Approximately 40% of Americans believe in Creationism, while about 57% believe in some form of evolution over millions of years.",
Voter Supression,"In the last 20 years, there have been more Americans struck by lightning than confirmed instances of voter fraud.",Fact,https://www.brennancenter.org/sites/default/files/analysis/Briefing_Memo_Debunking_Voter_Fraud_Myth.pdf,"Out of the more than 1 billion ballots cast in the last 20 years, there have been 31 cases of confirmed voter fraud (4 during the 2016 election)",
Voter Supression,Minority voters are more likely to encounter barriers to casting a ballot than white voters.,Fact,https://www.aclu.org/news/civil-liberties/block-the-vote-voter-suppression-in-2020/,"Some studies show that minorities are twice as likely to encounter barriers like photo ID laws, longer wait lines, closed polling stations, and limited vote by mail. ",
Voter Supression,A majority of Americans support abolishing the Electoral College in favor of electing the president by popular vote.,Fact,https://news.gallup.com/poll/320744/americans-support-abolishing-electoral-college.aspx,"Leading into the 2020 election, approximately 61% of voters (89% of Democrats, 68% of Independents, and 23% of Republicans) were in favor of amending the Constitution to elect the president by popular vote. ",
Corruption,Republican and Democratic administrations in the last 60 years have been equally corrput. ,Fiction,https://rantt.com/gop-admins-had-38-times-more-criminal-convictions-than-democrats-1961-2016,"Republican administrations are significantly more corrupt. From 1961 to 2016, during which there were five presidents from each political party whose combined administrations were equal in length (28 years), the number of Republicans convicted of a crime and issued prison sentences was 38 times that of Democrats.",
Federal Spending,Ronald Reagan is the last president to have ended his term with a surplus in funding.,Fiction,https://www.politifact.com/factchecks/2019/jul/29/tweets/republican-presidents-democrats-contribute-deficit/,"Under the Reagan administration, the federal deficit increased by over $100 billion. Bill Clinton is the last president to have eliminated the deficit, even ending his term with a $128 billion surplus.",
Healthcare,"The majority of Americans oppose a ""public option"" government-run healthcare plan that could compete with private health insurance.",Fiction,https://morningconsult.com/2021/03/24/medicare-for-all-public-option-polling/,"About 70% of Americans, including 56% of Republicans, support a public health insurance option. About 55% support single-payer ""Medicare for All.""",
Environment,The Environmental Protection Agency was formed under a Democratic administration.,Fiction,https://en.wikipedia.org/wiki/United_States_Environmental_Protection_Agency,The EPA was formed in 1970 under the Nixon administration after widespread calls for environmental action and reductions in pollution.,
Abortion,The Constitution explicitly prohibits discrimination on the basis of sex.,Fiction,https://www.theusconstitution.org/wp-content/uploads/2012/06/Crossroads-Chapter-8.pdf,"The Constitution does not contain the words “women” or “sex,” but the US Supreme Court has for decades made clear that the 14th Amendment encompasses protections against sex discrimination as part of its “equal protection of the laws.” The Equal Rights Amendment, which was proposed nearly a century ago, explicitly guarantees equal rights for all citizens regardless of sex; however, only 35 of the required 38 states have since ratified it, preventing it from being added to the Constitution.",
Abortion,The abortion rate in the US is increasing.,Fiction,https://www.npr.org/2019/09/18/761753866/u-s-abortion-rate-continues-long-term-decline,"From 2006 to 2015, the abortion rate in the US dropped by 26% to record lows, due in large part to increased access to family planning services and birth control (Centers for Disease Control). This matches a similar decline in the abortion rate worldwide over the last 20 years.",
Abortion,Countries with strict anti-abortion laws have higher abortion rates.,Fact,https://www.nbcnews.com/health/health-care/abortion-rates-go-down-when-countries-make-it-legal-report-n858476,"The abortion rate is 37 per 1,000 people in countries that ban abortion, compared to 34 per 1,000 people in countries that allow it (Guttmacher Institute). A related 2012 study found that when women received free birth control and contraceptives, the number of unplanned pregnancies and abortions fell by approximately 70%.",
Abortion,Minority women in the US are three times more likely than white women to die from pregnancy-related causes.,Fact,https://www.cdc.gov/media/releases/2019/p0905-racial-ethnic-disparities-pregnancy-deaths.html,"The risk of death from childbirth is approximately 14 times higher than death associated with abortions, with more than 60% of all pregnancy related deaths being preventable with better health care (American College of Obstetricians and Gynecologists). According to Amnesty International, forcing someone to carry on an unwanted pregnancy is a violation of their basic human rights, including rights to privacy and bodily autonomy.",
Abortion,The number of women dying from pregnancy-related complications in the US is steadily decreasing.,Fiction,https://www.cdc.gov/reproductivehealth/maternal-mortality/pregnancy-mortality-surveillance-system.htm,"According to the World Health Organization, the US is one of only two countries (along with the Dominican Republic) to report a significant increase in its maternal mortality ratio since 2000, even as maternal death rates have fallen by more than a third around the world.",
Income Inequality,It would take the average worker at an S&P 500 company 100 years to earn what their CEO makes in a year.,Fact,https://www.cnbc.com/2021/09/15/in-2020-top-ceos-earned-351-times-more-than-the-typical-worker.html,"In 2020, the average CEO made $25 million, or approximatelyy 350 times more than the average worker. Average wages for top 1% are increasing 4X the rate of bottom 90%.",
Guns,A majority of adults in the US own a gun. ,Fiction,https://news.gallup.com/poll/264932/percentage-americans-own-guns.aspx,"About 32% of American adults own a gun. Of the nearly 400 million guns in the US, 3% of the population owns nearly half.",
Income Inequality,The wealthiest .1% of Americans own about as much wealth as the bottom 90%. ,Fact,https://www.politifact.com/factchecks/2019/jan/31/elizabeth-warren/warren-top-01-own-about-much-bottom-90/,The richest 1% of Americans own nearly 80% of the US stock market wealth. ,
